Accession,Family,Genus,Species,Num_Features,Source
NZ_CALPCP010000001.1,Clostridia,Eubacteriales,Flintibacter,903,Flintibacter muris
NZ_CALPCY010000130.1,Lachnospirales,Lachnospiraceae,Otoolea,3,Otoolea muris
NZ_BHVZ01000001.1,Lachnospirales,Anaerotignaceae,Anaerotignum,1,Anaerotignum faecicola
NZ_SRYA01000017.1,Lachnospirales,Lachnospiraceae,Petralouisia,161,Petralouisia muris
NZ_CAJTFZ010000019.1,Bacteroidales,Bacteroidaceae,Bacteroides,143,Bacteroides acidifaciens
